Month,Name,Placement,Type,Viewed,Impression Rate,Products Clicked,CTR,Conversion Rate,AOV, Revenue,Rev Per Click,Revenue Per View
08/2025,COMPLETE THE LOOK,product-page,cross-sell,140693,66.04%,5583,3.97%,0.20%,$80.58,"$9,918.19",$1.78,$0.07
08/2025,Customers Also Bought,product-page,cross-sell,105083,35.13%,2423,2.31%,0.12%,$69.84,"$4,576.54",$1.89,$0.04
08/2025,Recently Viewed,other,recently-viewed,23260,18.51%,1814,7.80%,6.17%,$84.47,"$57,441.65",$31.67,$2.47
08/2025,Side Cart,cart-page,cart-cross-sell,21060,5.81%,2943,13.97%,5.55%,$68.59,"$39,587.05",$13.45,$1.88
08/2025,New Arrivals-2,other,custom,8583,30.62%,254,2.96%,0.21%,$92.98,"$1,103.84",$4.35,$0.13
08/2025,Homepage Recs for You,home-page,session,8253,33.88%,409,4.96%,0.39%,$67.20,"$1,342.99",$3.28,$0.16
08/2025,View Cart,cart-page,cart-cross-sell,1979,32.70%,451,22.79%,1.72%,$90.96,$890.77,$1.98,$0.45
08/2025,$10 Off Kimono Promo,home-page,custom,1727,47.30%,27,1.56%,0.41%,$119.28,$479.93,$17.78,$0.28
08/2025,404,404-page,session,1321,84.30%,13,0.98%,0.08%,$0.00,$65.99,$5.08,$0.05
08/2025,No Results,no-results-page,session,1292,76.86%,36,2.79%,0.23%,$53.19,$83.97,$2.33,$0.06
08/2025,7 Chakras,other,custom,1287,21.65%,83,6.45%,0.08%,$54.99,$54.99,$0.66,$0.04
08/2025,10 Off Collection,other,custom,957,34.42%,22,2.30%,0.00%,$0.00,$0.00,$0.00,$0.00
08/2025,Master Healer Collection,other,custom,147,37.79%,11,7.48%,0.68%,$89.98,$30.00,$2.73,$0.20
08/2025,Moonstone Jewelry (Luna Luxe Collection),other,custom,62,40.26%,1,1.61%,0.00%,$0.00,$0.00,$0.00,$0.00
08/2025,sunkissed-sale,other,custom,9,34.62%,0,0.00%,0.00%,$0.00,$0.00,N/A,$0.00
08/2025,Customers Also Viewed,product-page,similar,5,50.00%,0,0.00%,0.00%,$0.00,$0.00,N/A,$0.00
08/2025,Bundle,product-page,bundle,2,15.38%,1,50.00%,0.00%,$0.00,$0.00,$0.00,$0.00
08/2025,Home,home-page,session,2,20.00%,0,0.00%,0.00%,$0.00,$0.00,N/A,$0.00
08/2025,Florida collection,other,custom,2,100.00%,0,0.00%,0.00%,$0.00,$0.00,N/A,$0.00
08/2025,testing-ss,other,custom,1,100.00%,0,0.00%,0.00%,$0.00,$0.00,N/A,$0.00
09/2025,COMPLETE THE LOOK,product-page,cross-sell,89925,50.08%,6646,7.39%,0.30%,$76.64,"$9,232.20",$1.39,$0.10
09/2025,Customers Also Bought,product-page,cross-sell,39215,16.82%,2372,6.05%,0.12%,$69.65,"$1,898.55",$0.80,$0.05
09/2025,Recently Viewed,other,recently-viewed,13803,5.69%,2187,15.84%,4.79%,$79.90,"$24,658.29",$11.27,$1.79
09/2025,Side Cart,cart-page,cart-cross-sell,9914,4.35%,2768,27.92%,3.66%,$71.99,"$11,102.73",$4.01,$1.12
09/2025,New Arrivals-2,other,custom,6468,29.81%,557,8.61%,0.15%,$81.91,$629.90,$1.13,$0.10
09/2025,Homepage Recs for You,home-page,session,3611,17.16%,399,11.05%,0.42%,$74.93,$488.65,$1.22,$0.14
09/2025,View Cart,cart-page,cart-cross-sell,1453,29.81%,547,37.65%,2.62%,$73.92,"$1,098.09",$2.01,$0.76
09/2025,404,404-page,session,1100,62.68%,43,3.91%,0.00%,$0.00,$0.00,$0.00,$0.00
09/2025,7 Chakras,other,custom,488,14.53%,86,17.62%,0.00%,$0.00,$0.00,$0.00,$0.00
09/2025,No Results,no-results-page,session,463,30.52%,72,15.55%,0.43%,$34.50,$76.98,$1.07,$0.17
09/2025,Master Healer Collection,other,custom,144,21.82%,11,7.64%,0.00%,$0.00,$0.00,$0.00,$0.00
09/2025,Customers Also Viewed,product-page,similar,19,40.43%,6,31.58%,0.00%,$0.00,$0.00,$0.00,$0.00
09/2025,$10 Off Kimono Promo,home-page,custom,12,66.67%,0,0.00%,0.00%,$0.00,$0.00,N/A,$0.00
09/2025,Home,home-page,session,1,33.33%,0,0.00%,0.00%,$0.00,$0.00,N/A,$0.00
09/2025,sunkissed-sale,other,custom,0,0.00%,0,,,$0.00,$0.00,N/A,N/A
09/2025,10 Off Collection,other,custom,0,0.00%,0,,,$0.00,$0.00,N/A,N/A
