"Landing page type","Sessions","Pageviews","Sessions with cart additions","Sessions that reached checkout","Sessions that completed checkout","Sessions (previous_month)","Pageviews (previous_month)","Sessions with cart additions (previous_month)","Sessions that reached checkout (previous_month)","Sessions that completed checkout (previous_month)"
"Product",55740,204062,5762,2835,1521,68230,258419,6946,3401,1892
"Collection",36335,143503,2859,1476,859,50870,200423,4107,2101,1269
"Custom Page",13508,58881,617,309,161,14030,48518,763,354,206
"Homepage",10565,54844,1219,710,406,12994,75136,1770,1051,572
,2267,10723,136,288,138,3259,13273,265,649,245
"Checkout",736,1464,50,489,133,1509,3895,696,1244,467
"Customer Account",665,2971,62,43,51,841,3981,97,103,110
"Cart",392,1823,186,53,27,397,2010,123,49,38
"Blog Article",314,732,8,4,2,239,358,1,2,2
"Search",39,191,6,3,2,79,638,9,5,1
"Blog Index",8,35,0,0,0,7,21,0,0,0
"List of Collections",2,134,1,1,1,2,16,0,0,0
